Timestamp,Temperature (C),Humidity (%)
2024-12-12 07:51:45,23.8,49.0
2024-12-12 07:51:50,23.8,49.0
2024-12-12 07:51:55,23.8,49.0
2024-12-12 07:52:01,23.8,49.0
2024-12-12 07:52:06,23.8,49.0
2024-12-12 07:52:11,23.8,49.0
2024-12-12 07:52:17,23.8,49.0
2024-12-12 07:52:22,23.8,49.0
2024-12-12 07:52:27,23.8,49.0
2024-12-12 07:52:32,23.8,49.0
2024-12-12 07:52:37,23.8,49.0
2024-12-12 07:52:43,23.8,49.0
2024-12-12 07:52:48,23.8,49.0
2024-12-12 07:52:53,23.8,49.0
2024-12-12 07:52:59,23.8,49.0
2024-12-12 07:53:04,23.8,49.0
2024-12-12 07:53:09,23.8,49.0
2024-12-12 07:53:14,23.8,49.0
2024-12-12 07:53:20,23.8,49.0
2024-12-12 07:53:25,23.8,49.0
2024-12-12 07:53:30,23.8,49.0
2024-12-12 07:53:35,23.8,49.0
2024-12-12 07:53:41,23.8,49.0
2024-12-12 07:53:46,23.8,49.0
2024-12-12 07:53:51,23.8,49.0
2024-12-12 07:53:56,23.8,49.0
2024-12-12 07:54:01,23.8,48.0
2024-12-12 07:54:07,23.8,48.0
2024-12-12 07:54:12,23.8,48.0
2024-12-12 07:54:17,23.8,49.0
2024-12-12 07:54:22,23.8,49.0
2024-12-12 07:54:27,23.8,49.0
2024-12-12 07:54:32,23.8,49.0
2024-12-12 07:54:38,23.8,49.0
2024-12-12 07:54:43,23.8,49.0
2024-12-12 07:54:48,23.8,49.0
2024-12-12 07:54:53,23.8,49.0
2024-12-12 07:54:58,23.8,49.0
2024-12-12 07:55:03,23.8,49.0
2024-12-12 07:55:08,23.8,49.0
2024-12-12 07:55:13,23.8,49.0
2024-12-12 07:55:19,23.8,49.0
2024-12-12 07:55:24,23.8,49.0
2024-12-12 07:55:29,23.8,49.0
2024-12-12 07:55:35,23.8,49.0
2024-12-12 07:55:40,23.8,49.0
2024-12-12 07:55:45,23.8,49.0
2024-12-12 07:55:50,23.8,49.0
2024-12-12 07:55:55,23.8,49.0
2024-12-12 07:56:00,23.8,49.0
2024-12-12 07:56:05,23.8,49.0
2024-12-12 07:56:10,23.8,49.0
2024-12-12 07:56:16,23.8,49.0
2024-12-12 07:56:21,23.8,49.0
2024-12-12 07:56:26,23.8,49.0
2024-12-12 07:56:31,23.8,49.0
2024-12-12 07:56:36,23.8,49.0
2024-12-12 07:56:42,23.8,49.0
2024-12-12 07:56:47,23.8,49.0
2024-12-12 07:56:52,23.8,49.0
2024-12-12 07:56:57,23.8,49.0
2024-12-12 07:57:02,23.8,49.0
2024-12-12 07:57:07,23.8,49.0
2024-12-12 07:57:12,23.8,49.0
2024-12-12 07:57:18,23.8,49.0
2024-12-12 07:57:23,23.8,49.0
2024-12-12 07:57:29,23.8,49.0
2024-12-12 07:57:34,23.8,49.0
2024-12-12 07:57:39,23.8,49.0
2024-12-12 07:57:44,23.8,49.0
2024-12-12 07:57:50,23.8,49.0
